Cle,Zone,region_fr,province_fr,cercle_fr,commune_fr,nom_fr,nom_ar,type_localite,caractere_zone,milieu,population,menage,total_menages_sd,Longitude,Latitude
Lamzoudia - Lhajjaj,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lhajjaj,لحجاج,douar,,rural,700,100,4,,
Lamzoudia - Lakhrarza,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lakhrarza,الخرارزة,sous-douar,,rural,16,4,0,-8.68317,31.739175
Lamzoudia - Lahmidate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lahmidate,الحميدات,douar,,rural,750,140,,-8.40619,31.55964
Lamzoudia - Lahmadat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lahmadat,الحمدات,douar,,rural,525,105,42,-8.713178,31.616987
Lamzoudia - Mgoubira,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Mgoubira,مكوبيرا,sous-douar,,rural,55,12,0,,
Lamzoudia - Si Fateh,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Si Fateh,سي فاتح,sous-douar,,rural,85,20,0,-8.70303,31.64899
Lamzoudia - Lafriaat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lafriaat,لفريعات,sous-douar,,rural,45,10,0,-8.68857,31.66419
Lamzoudia - Lkheidar,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lkheidar,الخيدر,douar,,rural,450,85,5,,
Lamzoudia - Laketeif,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laketeif,لقطيف,sous-douar,,rural,20,5,0,-8.368547,31.581559
Lamzoudia - Laknassiss,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laknassiss,الكناسيس,douar,,rural,720,130,6,-8.37543,31.59386
Lamzoudia - Laghnadra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laghnadra,الغناضرة,sous-douar,,rural,25,6,0,-8.387134,31.615143
Lamzoudia - Lkoudya,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lkoudya,الكودية,douar,,rural,460,90,15,,
Lamzoudia - Azib Laaskri,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Azib Laaskri,عزيب العسكري,sous-douar,,rural,75,15,0,-8.450331,31.5889
Lamzoudia - Lamsaada,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lamsaada,المساعدة,douar,,rural,500,98,,-8.41066,31.61775
Lamzoudia - Laminat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laminat,المينات,douar,,rural,2150,400,,-8.74044,31.63906
Lamzoudia - Jaarna,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Jaarna,الجعارنة,douar,,rural,220,35,,-8.410765,31.578673
Lamzoudia - Laababra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laababra,العبابرة,douar,,rural,310,52,,-8.74059,31.61036
Lamzoudia - Laalliwat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laalliwat,العليوات,douar,,rural,300,50,15,-8.41319,31.58156
Lamzoudia - Laalliwat 2,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laalliwat 2,العليوات 2,sous-douar,,rural,60,15,0,-8.388762,31.589539
Lamzoudia - Lakouadra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lakouadra,لكوادرة,douar,,rural,820,140,16,-8.61101,31.71711
Lamzoudia - Skiriba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Skiriba,سكيريبة,sous-douar,,rural,75,16,0,,
Lamzoudia - Moussa Mbarek,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Moussa Mbarek,موسى مبارك,douar,,rural,84,20,,-8.511331,31.704286
Lamzoudia - Lamzoudia,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lamzoudia,لمزوضية,douar,,rural,2880,700,,-8.49096,31.57966
Lamzoudia - Oulad Abdelah,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Abdelah,أولاد عبد الله,douar,,rural,1050,180,15,-8.573459,31.642591
Lamzoudia - Ali Ben Fatima,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Ali Ben Fatima,علي بن فاطمة,sous-douar,,rural,80,15,0,-8.558,31.63877
Lamzoudia - Oulad Lkhadem,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Lkhadem,اولاد الخدم,douar,,rural,160,28,,,
Lamzoudia - Oulad Lmehdi,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Lmehdi,أولاد المهدي,douar,,rural,350,58,32,,
Lamzoudia - Bel Aaouda,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Bel Aaouda,بلعاودة,sous-douar,,rural,20,5,0,-8.66088,31.68518
Lamzoudia - Oulad Saleh Lmbarki,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Saleh Lmbarki,أولاد صالح المباركي,sous-douar,,rural,150,27,0,-8.650174,31.688997
Lamzoudia - Hammou Moussa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Hammou Moussa,حمو موسى,douar,,rural,266,75,,-8.45005,31.67978
Lamzoudia - Oulad Kaddor,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Kaddor,اولاد قدور,douar,,rural,500,66,,-8.77021,31.73485
Lamzoudia - Oulad Karrom,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Karrom,اولاد كروم,douar,,rural,150,32,,-8.71219,31.7454
Lamzoudia - Moussa Laakarta,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Moussa Laakarta,موسى لعكارطة,douar,,rural,310,50,,-8.650892,31.73127
Lamzoudia - Quobate Nouaji,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Quobate Nouaji,قبة النواجي,douar,,rural,350,60,,-8.55252,31.61217
Lamzoudia - Rhilate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Rhilate,رحيلات,douar,,rural,1850,300,,-8.62283,31.63867
Lamzoudia - Si Amara,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Si Amara,سي عمارة,douar,,rural,750,180,,-8.726994,31.703883
Lamzoudia - Bellahoual,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Bellahoual,بلحوال,douar,,rural,800,145,,-8.54861,31.53909
Lamzoudia - Azib Ben Darsa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Azib Ben Darsa,عزيب بن درسة,douar,,rural,60,12,,-8.400825,31.674537
Lamzoudia - Azib Lmekhzene,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Azib Lmekhzene,عزيب المخزن,douar,,rural,360,72,8,,
Lamzoudia - Draa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Draa,الدراع,sous-douar,,rural,35,8,0,-8.435529,31.570763
Lamzoudia - Dgadga,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Dgadga,الدكادكة,douar,,rural,50,20,,-8.71711,31.66586
Lamzoudia - Laaouissat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laaouissat,العويسات,douar,,rural,110,19,,-8.405906,31.57586
Lamzoudia - Lbatma,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lbatma,البطمة,douar,,rural,680,160,,-8.699657,31.576447
Lamzoudia - Labirat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Labirat,البيرات,douar,,rural,66,28,,-8.46063,31.56565
Lamzoudia - Lahrichat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lahrichat,لحريشات,douar,,rural,550,96,,-8.44435,31.61263
Lamzoudia - Lmquadem Bih,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lmquadem Bih,لمقدم بيه,douar,,rural,110,20,4,17.679076,43.915886
Lamzoudia - Oulad Bih,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Bih,اولاد بيه,sous-douar,,rural,15,4,0,-8.681185,31.620148
Lamzoudia - Cheguirine,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Cheguirine,الشكيرين,douar,,rural,770,155,,-8.72645,31.54689
Lamzoudia - Hidat Lghaba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Hidat Lghaba,حيدات الغابة,douar,,rural,610,150,,,
Lamzoudia - Jwadra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Jwadra,جوادرة,douar,,rural,150,35,,-8.42831,31.69922
Lamzoudia - Lahdoudyine,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lahdoudyine,الهدوديين,douar,,rural,215,43,,-8.7089,31.61115
Lamzoudia - Kariat Chams,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Kariat Chams,قرية الشمس,douar,,rural,100,34,,-8.5444,31.51227
Lamzoudia - Saidate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Saidate,سعيدات,douar,,rural,164,32,,,
Lamzoudia - Salem Bel Laaroussi,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Salem Bel Laaroussi,سالم بلعروسي,douar,,rural,39,6,,-8.69983,31.55681
Lamzoudia - Labraj,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Labraj,لبراج,douar,,rural,250,40,6,-8.438,31.62293
Lamzoudia - Ben Manana,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Ben Manana,بن منانة,sous-douar,,rural,20,6,0,-8.459748,31.626061
Lamzoudia - Lafdadla,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lafdadla,لفضاضلة,douar,,rural,63,12,,-8.48005,31.72619
Lamzoudia - Oulad Daou,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Daou,اولاد الضو,douar,,rural,230,58,,-8.376445,31.68477
Lamzoudia - Laabadla,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laabadla,لعباضلة,douar,,rural,130,24,,-8.56184,31.71381
Lamzoudia - Azib Ben Bara,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Azib Ben Bara,عزيب بن بارة,douar,,rural,84,16,,-8.47661,31.66126
Lamzoudia - Oulad Bibou,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Oulad Bibou,اولاد بيبو,douar,,rural,867,180,130,-8.48137,31.637731
Lamzoudia - Labazda,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Labazda,لبازدة,sous-douar,,rural,92,20,0,-8.48944,31.64714
Lamzoudia - Aiyad Ben Ayouch,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Aiyad Ben Ayouch,عياد بن عيوش,sous-douar,,rural,130,30,0,-8.4944,31.66031
Lamzoudia - Lfakir,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lfakir,الفقير,sous-douar,,rural,205,40,0,,
Lamzoudia - Laamtamna,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laamtamna,لعثامنة,sous-douar,,rural,190,40,0,-8.503322,31.652892
Lamzoudia - Aouinat Lagsab,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Aouinat Lagsab,عوينات لقصب,douar,,rural,110,25,,-8.794298,31.720458
Lamzoudia - Boulekhras,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Boulekhras,بولخراص,douar,,rural,400,65,,-8.55378,31.58598
Lamzoudia - Labreije,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Labreije,لبريج,douar,,rural,430,80,,-8.464673,31.644826
Lamzoudia - Choifra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Choifra,الشوافرة,douar,,rural,170,33,,-8.549136,31.689357
Lamzoudia - Laazaaza,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Laazaaza,العزاعزة,douar,,rural,90,20,,-8.433414,31.701472
Lamzoudia - Belaid Ben Barra,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Belaid Ben Barra,بلعيد بن بار,douar,,rural,310,70,,-8.506832,31.68585
Lamzoudia - Lakouara Belhcen,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lakouara Belhcen,لكوارة بلحسن,douar,,rural,210,43,,,
Lamzoudia - Lmehdi,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lmehdi,المهدي,douar,,rural,140,28,,,
Lamzoudia - Hay Cimar,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Hay Cimar,حي سيمار,douar,,rural,80,19,,-8.479324,31.587957
Lamzoudia - Lkouarra Belaassri,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Lkouarra Belaassri,الكوارة بلعسري,douar,,rural,66,18,9,,
Lamzoudia - Rbaat Jilali,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Rbaat Jilali,رباعة جلالي,sous-douar,,rural,26,5,0,-8.467293,31.697161
Lamzoudia - Rbaat Ben Daouia,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Rbaat Ben Daouia,رباعة بن الضاوية,sous-douar,,rural,16,4,0,-8.460993,31.703238
Lamzoudia - Sidi Jaoui,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Lamzoudia,Sidi Jaoui,سيدي جاوي,douar,,rural,180,34,,-8.401484,31.701349
Oulad Moumna - Ahl Aissa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Ahl Aissa,أهل عيسى,douar,,rural,96,24,,-9.10354,31.38545
Oulad Moumna - Lbouitate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lbouitate,البيتات,douar,,rural,116,34,,-9.083374,31.4353425
Oulad Moumna - Ameskslane Lfokani,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Ameskslane Lfokani,امسكسلان الفوقاني,douar,,rural,400,60,,-9.083374,31.4353425
Oulad Moumna - Ameskslane Tahtani,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Ameskslane Tahtani,امسكسلان تحتاني,douar,,rural,254,75,25,-9.111002,31.394826
Oulad Moumna - Zaouia Sidi Mbarek,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Zaouia Sidi Mbarek,زوية سيدي مبارك,sous-douar,,rural,125,25,0,-9.083374,31.4353425
Oulad Moumna - Dmissate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Dmissate,الدميسات,douar,,rural,294,49,,-8.965246,31.447667
Oulad Moumna - Labharir,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Labharir,لبهرير,douar,,rural,296,56,,-9.083374,31.4353425
Oulad Moumna - Gourarte,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Gourarte,كورارات,douar,,rural,179,38,13,-9.049293,31.489725
Oulad Moumna - Lfkih,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lfkih,الفقيه,sous-douar,,rural,29,13,0,-9.083374,31.4353425
Oulad Moumna - Jorf,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Jorf,جرف,douar,,rural,154,42,4,-9.083374,31.4353425
Oulad Moumna - Triyate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Triyate,تريات,sous-douar,,rural,25,4,0,-9.083374,31.4353425
Oulad Moumna - Lahlalate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lahlalate,لهلالات,douar,,rural,157,40,,-9.118663,31.490788
Oulad Moumna - Lhmidat,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lhmidat,لحميدات,douar,,rural,183,40,,-9.083374,31.4353425
Oulad Moumna - Lamdadha,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lamdadha,لمدادحة,douar,,rural,249,38,,-9.091772,31.479128
Oulad Moumna - Lamzazga,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lamzazga,لمزازكة,douar,,rural,651,80,30,-9.137646,31.459228
Oulad Moumna - Lamzazga Ait Lahcen,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lamzazga Ait Lahcen,لمزازكة ايت لحسن,sous-douar,,rural,140,30,0,-9.146275,31.462307
Oulad Moumna - Oulad Abdellah M'Barek,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Abdellah M'Barek,اولاد عبد الله مبارك,douar,,rural,465,93,,-9.083374,31.4353425
Oulad Moumna - Oulad Beggar,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Beggar,اولاد بكار,douar,,rural,148,20,5,-9.083374,31.4353425
Oulad Moumna - Azib Lkarma,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Azib Lkarma,عزيب الكرمة,sous-douar,,rural,20,5,0,-9.083374,31.4353425
Oulad Moumna - Oulad Mimoune,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Mimoune,اولاد ميمون,douar,,rural,239,59,,-9.083374,31.4353425
Oulad Moumna - Oulad Lmoumna,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Lmoumna,اولاد المومنة,douar,,rural,302,120,33,-9.083374,31.4353425
Oulad Moumna - Chalchila,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Chalchila,شلشيلة,sous-douar,,rural,16,8,0,-9.010014,31.441721
Oulad Moumna - Ouled Toumi,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Ouled Toumi,اولاد تومي,sous-douar,,rural,84,25,0,-9.08308,31.427864
Oulad Moumna - Oulad Sghir,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Sghir,اولاد صغير,douar,,rural,168,30,,-9.083374,31.4353425
Oulad Moumna - Oulad Lhaj,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Lhaj,اولاد الحاج,douar,,rural,297,65,11,-9.083374,31.4353425
Oulad Moumna - Bouh,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Bouh,بوه,sous-douar,,rural,38,11,0,-9.013975,31.497671
Oulad Moumna - Oulad Lmakhlouf,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Lmakhlouf,اولاد المخلوف,douar,,rural,415,62,,-9.083374,31.4353425
Oulad Moumna - Rhahla,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Rhahla,رحاحلة,douar,,rural,321,100,,-9.02725,31.489371
Oulad Moumna - Safia,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Safia,صافية,douar,,rural,553,160,,-9.10106,31.525209
Oulad Moumna - Sidi Mohamed,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Sidi Mohamed,سيدي محمد,douar,,rural,203,34,8,-9.083374,31.4353425
Oulad Moumna - Lakhribate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lakhribate,لخريبات,sous-douar,,rural,45,8,0,-9.007651,31.450581
Oulad Moumna - Sidi Moussa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Sidi Moussa,سيدي موسى,douar,,rural,183,46,,-9.073779,31.515797
Oulad Moumna - Timloulte,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Timloulte,تملولت,douar,,rural,568,90,10,-9.083374,31.4353425
Oulad Moumna - Ait Moukaila,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Ait Moukaila,آيت مقيلة,sous-douar,,rural,16,4,0,-9.173,31.4586
Oulad Moumna - Lagrazna,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lagrazna,لكرازنة,sous-douar,,rural,12,6,0,-9.148422,31.464316
Oulad Moumna - Touiglla,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Touiglla,تويكلة,douar,,rural,88,10,,-9.119605,31.417558
Oulad Moumna - Zaouia Lafkih,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Zaouia Lafkih,زوية لفقيه,douar,,rural,220,45,,-9.083374,31.4353425
Oulad Moumna - Si Aissa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Si Aissa,سي عيسى,douar,,rural,98,10,4,-9.025252,31.456068
Oulad Moumna - Lborja,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lborja,البرجة,sous-douar,,rural,25,4,0,-9.083374,31.4353425
Oulad Moumna - Oulad Zir,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Oulad Zir,أولاد الزير,douar,,rural,58,16,,-9.083374,31.4353425
Oulad Moumna - Lhammar,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Lhammar,الحمار,douar,,rural,84,28,,-9.083374,31.4353425
Oulad Moumna - Laarab,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Oulad Moumna,Laarab,العرب,douar,,rural,96,25,,-9.083374,31.4353425
Saidate - Aguidire,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Aguidire,اڭويدير,douar,,rural,70,30,,-8.808437,31.387026
Saidate - Ali Bouha,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Ali Bouha,علي بوها,douar,,rural,130,15,,-8.865593,31.420762
Saidate - Daghoussa,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Daghoussa,الداغوسة,douar,,rural,150,37,,-8.918669,31.408781
Saidate - Ghdir Bnane,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Ghdir Bnane,غدير بنان,douar,,rural,270,80,,-8.847642,31.294715
Saidate - Ghdir Babane,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Ghdir Babane,غدير بابان,douar,,rural,60,8,,-8.83622,31.460498
Saidate - Lakhnig,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Lakhnig,لخنيڭ,douar,,rural,700,120,,-8.9696,31.38703
Saidate - Laghsasla,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Laghsasla,لغساسلة,douar,,rural,340,90,12,-8.827081,31.286805
Saidate - El Kalaa Oulad Sidi,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,El Kalaa Oulad Sidi,القلعة أولاد سيدي,sous-douar,,rural,50,12,0,,
Saidate - Lakhririba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Lakhririba,الخريريبة,douar,,rural,190,27,,-8.821111,31.437243
Saidate - Oulad Abdelmoula,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Oulad Abdelmoula,أولاد عبد المولى,douar,,rural,310,110,,-8.7708355,31.3246313
Saidate - Oulad Chinane,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Oulad Chinane,أولاد شينان,douar,,rural,330,80,,,
Saidate - Oulad Hiba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Oulad Hiba,أولاد هيبة,douar,,rural,200,40,,-8.83189,31.34678
Saidate - Oulad Soula,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Oulad Soula,أولاد صولة,douar,,rural,600,150,,-8.8035,31.31957
Saidate - Oulad Zir,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Oulad Zir,أولاد الزير,douar,,rural,200,65,,-8.74097,31.34802
Saidate - Abbas,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Abbas,عباس,douar,,rural,15,2,,-8.845936,31.420477
Saidate - Chaiba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Chaiba,شعيبة,douar,,rural,70,15,,,
Saidate - Laghouirgate,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Laghouirgate,الغويركات,douar,,rural,70,10,,-8.83864,31.4281
Saidate - Lalla Ariba,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Lalla Ariba,لالة عريبة,douar,,rural,150,40,,,
Saidate - Znida,50 -100 zone a risque modere,Marrakech-Safi,Chichaoua,Chichaoua,Saidate,Znida,زنيدة,douar,,rural,90,15,2,-8.87651,31.40272
